date,sst,sst_anomaly,mhw_days,year,month,oni,enso_phase
1998-06-01,16.557882566666667,1.0148676083333334,10,1998,6,-0.13,Neutral
1998-07-01,17.083149806451612,0.3349921516129037,0,1998,7,-0.78,La Niña
1998-08-01,17.95343083870968,0.324273093548387,0,1998,8,-1.12,La Niña
1998-09-01,18.137876733333332,0.27776222222222235,0,1998,9,-1.31,La Niña
1998-10-01,17.197736677419353,-0.20790961612903253,0,1998,10,-1.35,La Niña
1998-11-01,15.896605916666665,-0.4037950161111114,0,1998,11,-1.48,La Niña
1998-12-01,14.078816693548386,-0.8823547430107525,0,1998,12,-1.57,La Niña
1999-01-01,13.535426322580644,-0.6669614365591398,0,1999,1,-1.55,La Niña
1999-02-01,13.237364053571428,-0.7739464315476191,0,1999,2,-1.3,La Niña
1999-03-01,13.125504645161291,-0.924919546236559,0,1999,3,-1.07,La Niña
1999-04-01,12.932992116666666,-1.3200413699999998,0,1999,4,-0.98,La Niña
1999-05-01,13.290205306451615,-1.515990704301075,0,1999,5,-1.02,La Niña
1999-06-01,14.138845866666665,-1.4041690916666667,0,1999,6,-1.04,La Niña
1999-07-01,15.67619606451613,-1.0719615903225805,0,1999,7,-1.1,La Niña
1999-08-01,16.98139648387097,-0.6477612612903225,0,1999,8,-1.11,La Niña
1999-09-01,17.211955566666667,-0.6481589444444443,0,1999,9,-1.16,La Niña
1999-10-01,16.990391677419353,-0.4152546161290322,0,1999,10,-1.26,La Niña
1999-11-01,16.121559866666665,-0.17884106611111106,0,1999,11,-1.46,La Niña
1999-12-01,14.475933322580646,-0.4852381139784946,0,1999,12,-1.65,La Niña
2000-01-01,13.716431193548386,-0.48595656559139766,0,2000,1,-1.66,La Niña
2000-02-01,14.037988642857144,0.026678157738095256,0,2000,2,-1.41,La Niña
2000-03-01,13.748774403225807,-0.30164978817204285,0,2000,3,-1.07,La Niña
2000-04-01,14.463034516666665,0.21000103000000017,0,2000,4,-0.81,La Niña
2000-05-01,14.98616870967742,0.17997269892473125,0,2000,5,-0.71,La Niña
2000-06-01,15.918790366666666,0.3757754083333334,0,2000,6,-0.64,La Niña
2000-07-01,16.557958419354836,-0.19019923548387063,0,2000,7,-0.55,La Niña
2000-08-01,17.25508406451613,-0.37407368064516133,0,2000,8,-0.51,La Niña
2000-09-01,17.699323766666666,-0.16079074444444455,0,2000,9,-0.55,La Niña
2000-10-01,17.042752451612905,-0.36289384193548435,0,2000,10,-0.63,La Niña
2000-11-01,15.233755666666667,-1.0666452661111114,0,2000,11,-0.75,La Niña
2000-12-01,14.800243338709677,-0.16092809784946224,0,2000,12,-0.74,La Niña
2001-01-01,13.895484225806452,-0.3069035333333333,0,2001,1,-0.68,La Niña
2001-02-01,13.565365607142857,-0.44594487797619065,0,2001,2,-0.52,La Niña
2001-03-01,13.393153467741934,-0.6572707236559138,0,2001,3,-0.44,Neutral
2001-04-01,13.296542283333334,-0.9564912033333333,0,2001,4,-0.34,Neutral
2001-05-01,14.614942387096775,-0.19125362365591403,0,2001,5,-0.25,Neutral
2001-06-01,15.684913283333334,0.14189832500000016,0,2001,6,-0.12,Neutral
2001-07-01,16.984416580645163,0.23625892580645222,8,2001,7,-0.08,Neutral
2001-08-01,17.13816277419355,-0.4909949709677422,0,2001,8,-0.13,Neutral
